Ngameni,139.0833333,-26.83333333
Araba,142.1666667,-17.16666667
Kakadu,133,-12.58333333
Wenamba,128.8333333,-23.83333333
Ngadjuri,139,-33.08333333
Wikapatja,141.6666667,-13.41666667
Ngardok,132.5,-12.16666667
Kaurna,138.5,-34.58333333
Winduwinda,141.8333333,-13
Narangga,137.5833333,-34.58333333
Atjinuri,142.6666667,-12.16666667
Kujani,137.9166667,-30.25
Wailpi,138.9166667,-30.41666667
Djauan,132.8333333,-14
Wulwulam,132.1666667,-13.83333333
Ewamin,144.1666667,-18.75
Banbai,152.1666667,-29.91666667
Ajabatha,143.1666667,-14.58333333
Ajabakan,142.4166667,-14.75
Ngaiawang,139.5833333,-34.25
Waramanga,134.3333333,-19.25
Airiman,130.9166667,-14.75
Kawadji,143.4166667,-13.16666667
Jaako,132.6666667,-11.16666667
Nokaan,115.3333333,-27.58333333
Wakaja,137.3333333,-20.33333333
Kokomini,143.4166667,-16.16666667
Kokojawa,144.1666667,-15.5
Djagaraga,142.5833333,-10.83333333
Alawa,134.25,-15
Walpiri,131.5,-20.16666667
Aranda,134.75,-24.66666667
Antakirinja,134,-27.16666667
Iliaura,135.5,-21.91666667
Nangatadjara,124.75,-28.75
Jangkundjara,131.9166667,-27.25
Alura,130,-15.16666667
Matuntara,132.5,-25.41666667
Ingura,136.5833333,-13.91666667
Amangu,115.5,-29.33333333
Amarak,132.8333333,-11.91666667
Dainggati,151.8333333,-31.08333333
Ngormbur,132.3333333,-12.41666667
Amijangal,130.1666667,-13.41666667
Ankamuti,142.3333333,-11.16666667
Anaiwan,151.5,-30.5
Barara,134.6666667,-12.08333333
Wilawila,126.9166667,-15.16666667
Andakerebina,137.3333333,-22.75
Ngarinjin,126,-16.25
Karanguru,138.6666667,-26.41666667
Kotandji,135.1666667,-17.16666667
Jeidji,127.9166667,-15.16666667
Inggarda,114.75,-25.25
Jupangati,141.8333333,-12.33333333
Janjula,137.1666667,-16.33333333
Anmatjera,133.3333333,-22.33333333
Arabana,136,-28.5
Kokobujundji,145.25,-15.66666667
Umede,123.9166667,-16.41666667
Arakwal,153.3333333,-28.83333333
Arnga,128,-15.75
Jadliaura,139.1666667,-31.41666667
Pangkala,136.9166667,-32.5
Ngarkat,140.3333333,-35.41666667
Jotijota,144.8333333,-35.83333333
Duwal,135.8333333,-12.66666667
Juru,147.6666667,-19.91666667
Ngathokudi,142.4166667,-12.08333333
Jagalingu,146.6666667,-23.33333333
Wurango,132.0833333,-11.25
Awabakal,151.5,-33.08333333
Awarai,131.4166667,-13.25
Awinmul,131.75,-13.5
Kokopera,141.5833333,-15.75
Ngadjunmaia,123.75,-32.25
Mirning,128,-31.16666667
Miwa,127,-14.16666667
Baada,122.9166667,-16.5
Duwala,135.6666667,-12.5
Wangan,147.6666667,-22.83333333
Kurung,144.4166667,-37.75
Badjiri,145.25,-28.5
Barimaia,118.0833333,-27.75
Badjalang,152.9166667,-29.25
Batjala,152.9166667,-25.75
Potidjara,123.25,-24
Pakadji,143.0833333,-12.41666667
Barkindji,142.4166667,-32.66666667
Mamu,145.9166667,-17.58333333
Worimi,151.9166667,-32.5
Parundji,144.25,-29.58333333
Wadjari,117.25,-26
Baiali,150.9166667,-23.66666667
Thaua,149.6666667,-36.91666667
Baijungu,114.0833333,-23.33333333
Bailgu,120,-22.25
Pibelmen,115.8333333,-34.33333333
Barungguan,143.5,-14
Bakanambia,144.1666667,-14.66666667
Muthimuthi,143.3333333,-34.41666667
Bunganditj,141.1666667,-37.58333333
Wenambal,127.5833333,-14.83333333
Balardong,117.0833333,-31.75
Barbaram,145,-17.25
Bugulmara,142,-18.33333333
Djinang,134.8333333,-12.33333333
Wongkumara,141.8333333,-27.58333333
Latjilatji,141.75,-34.66666667
Janggal,139,-16.91666667
Pini,122,-26.91666667
Bandjin,146.25,-18.33333333
Pandjima,118.25,-22.83333333
Puneitja,132.25,-13
Pangerang,145.6666667,-36.41666667
Pindjarup,115.9166667,-32.91666667
Punthamara,143.5,-27.41666667
Baraparapa,144.75,-35.33333333
Barada,149,-23.08333333
Baranbinja,146.25,-29.83333333
Nango,135.6666667,-11.91666667
Walbanga,149.8333333,-35.75
Widi,116.75,-28.83333333
Barindji,143.5,-32.83333333
Ngawait,140.1666667,-34.25
Barna,148.25,-22.16666667
Tjapukai,145.5,-16.83333333
Barunggam,150.5,-26.75
Kambure,126.25,-14.25
Nukunu,138.1666667,-32.91666667
Mutumui,144.5833333,-14.58333333
Tunuvivi,130.8333333,-11.5
Nauo,135.5,-33.75
Darambal,150.3333333,-23.08333333
Bidawal,149.3333333,-37.33333333
Kokatja,127.0833333,-20.75
Nangatara,124.75,-21.25
Bigambul,150.1666667,-28.16666667
Kokonjekodi,145.0833333,-14.91666667
Wardandi,115.3333333,-33.83333333
Kumbainggiri,152.9166667,-30.16666667
Ngarigo,148.8333333,-36.41666667
Bindal,147.25,-19.58333333
Kaiadilt,139.5,-17.08333333
Jaudjibaia,124.2166667,-15.93333333
Beriguruk,132,-12.58333333
Magatige,129.6666667,-14.16666667
Maraura,141.5,-33.75
Pilatapa,139.8333333,-29.83333333
Watiwati,143.4166667,-35.08333333
Bidia,142.5,-25.5
Pitjandjara,129.9166667,-26
Oitbi,132.5,-11.5
